title,text,label
India wins T20 World Cup,India defeated Australia in the final match to win the T20 World Cup,REAL
Stock market rises,Indian stock market gained over 2 percent after strong quarterly results,REAL
New education policy launched,Government announced a new education policy focusing on digital learning,REAL
ISRO launches satellite,ISRO successfully launched a new communication satellite from Sriharikota,REAL
Heavy rainfall in Mumbai,Several areas in Mumbai reported waterlogging after heavy rain,REAL
Fake moon landing claim,A viral post claimed the moon landing was filmed in a studio without evidence,FAKE
Aliens elected as prime minister,A social media rumor said aliens have been elected as prime minister,FAKE
Chocolate cures all diseases,An article falsely claimed chocolate can cure every disease instantly,FAKE
Dinosaurs found alive in city,A fake report claimed dinosaurs were seen walking in a modern city,FAKE
Sun rises from west tomorrow,A fake viral message claimed the sun will rise from the west tomorrow,FAKE
India wins ODI series,India won the ODI series after defeating England in the final match,REAL
New metro line opens,A new metro line was opened to improve public transport in the city,REAL
Hospital opens free camp,A hospital organized a free health checkup camp for local residents,REAL
University announces scholarship,A university announced scholarships for meritorious students this year,REAL
Man lives on Mars,A fake article claimed a man has been living secretly on Mars for years,FAKE
Water turns into gold at midnight,A viral message falsely said water turns into gold at midnight,FAKE
Invisible car launched,A fake tech blog claimed a company launched the worlds first invisible car,FAKE
Earth to stop rotating,A fake social media post claimed Earth will stop rotating for five seconds,FAKE
Flying elephant seen in Delhi,A fake rumor spread online claiming a flying elephant was seen in Delhi,FAKE
